LOCATION,TIME,Value
Australia,2020-01,5.273261
Australia,2020-02,5.086473000000001
Australia,2020-03,5.225147
Australia,2020-04,6.366805
Australia,2020-05,7.077647
Australia,2020-06,7.448942999999999
Australia,2020-07,7.493616
Austria,2020-01,4.4
Austria,2020-02,4.4
Austria,2020-03,4.6
Austria,2020-04,4.7
Austria,2020-05,5.5
Austria,2020-06,5.4
Austria,2020-07,5.2
Belgium,2020-01,5.1
Belgium,2020-02,5.0
Belgium,2020-03,5.1
Belgium,2020-04,5.3
Belgium,2020-05,5.4
Belgium,2020-06,5.5
Belgium,2020-07,5.5
Canada,2020-01,5.5
Canada,2020-02,5.6
Canada,2020-03,7.8
Canada,2020-04,13.0
Canada,2020-05,13.7
Canada,2020-06,12.3
Canada,2020-07,10.9
Czech Republic,2020-01,2.0
Czech Republic,2020-02,2.0
Czech Republic,2020-03,2.1
Czech Republic,2020-04,2.2
Czech Republic,2020-05,2.4
Czech Republic,2020-06,2.7
Czech Republic,2020-07,2.7
Denmark,2020-01,4.9
Denmark,2020-02,4.9
Denmark,2020-03,4.8
Denmark,2020-04,4.9
Denmark,2020-05,5.5
Denmark,2020-06,6.0
Denmark,2020-07,6.0
Finland,2020-01,6.8
Finland,2020-02,6.9
Finland,2020-03,7.0
Finland,2020-04,7.2
Finland,2020-05,7.4
Finland,2020-06,7.6
Finland,2020-07,7.8
France,2020-01,8.0
France,2020-02,7.7
France,2020-03,7.5
France,2020-04,7.8
France,2020-05,6.9
France,2020-06,6.6
France,2020-07,6.9
Germany,2020-01,3.4
Germany,2020-02,3.6
Germany,2020-03,3.8
Germany,2020-04,4.0
Germany,2020-05,4.2
Germany,2020-06,4.3
Germany,2020-07,4.4
Greece,2020-01,16.2
Greece,2020-02,15.9
Greece,2020-03,14.5
Greece,2020-04,15.7
Greece,2020-05,17.0
Hungary,2020-01,3.4
Hungary,2020-02,3.6
Hungary,2020-03,3.7
Hungary,2020-04,4.1
Hungary,2020-05,4.8
Hungary,2020-06,4.9
Iceland,2020-01,3.8
Iceland,2020-02,3.9
Iceland,2020-03,3.5
Iceland,2020-04,3.9
Iceland,2020-05,4.5
Iceland,2020-06,4.5
Iceland,2020-07,5.0
Ireland,2020-01,4.9
Ireland,2020-02,4.8
Ireland,2020-03,5.2
Ireland,2020-04,5.0
Ireland,2020-05,5.0
Ireland,2020-06,4.6
Ireland,2020-07,5.0
Italy,2020-01,9.6
Italy,2020-02,9.4
Italy,2020-03,8.5
Italy,2020-04,7.3
Italy,2020-05,8.5
Italy,2020-06,9.3
Italy,2020-07,9.7
Japan,2020-01,2.4
Japan,2020-02,2.4
Japan,2020-03,2.5
Japan,2020-04,2.6
