Country,Date,Value,School_closures,Workplace_Closures,Cancel_public_events,Restrictions_on_gatherings,Close_public_transport,Stay_at_home_requirements,Restrictions_on_internal_movement,International_travel_controls,Income_support,Debt/contract_relief,Fiscal_measures,International_support,Public_information_campaigns,Testing_policy,Contact_tracing,Emergency_investment_in_health_care,Investment_in_Vaccines,Stringency_Index
Australia,2020-01,5.273261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45161290322580644,0.22580645161290322,0.45161290322580644,0.0,0.0,2.508709677419355
Australia,2020-02,5.086473000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,19.440000000000005
Australia,2020-03,5.225147,0.7741935483870968,0.5806451612903226,0.967741935483871,1.3870967741935485,0.0,0.25806451612903225,0.8387096774193549,3.3870967741935485,0.6451612903225806,0.45161290322580644,6590080356.5172415,0.0,2.0,1.0,1.7096774193548387,50623183.741935484,241072.70967741936,38.20032258064516
Australia,2020-04,6.366805,2.566666666666667,2.0,2.0,4.0,0.0,1.9666666666666666,2.0,4.0,1.0,2.0,32366662.466666665,0.0,2.0,1.2666666666666666,1.0,0.0,0.0,71.48066666666668
Australia,2020-05,7.077647,2.0,1.4516129032258065,2.0,4.0,0.45161290322580644,1.3548387096774193,2.0,4.0,1.0,2.0,0.0,5997605.193548387,2.0,3.0,1.0,0.0,0.0,67.35225806451615
Australia,2020-06,7.448942999999999,1.0666666666666667,1.0,1.3666666666666667,3.0,1.0,0.0,2.0,4.0,1.0,2.0,11466666.666666666,204122.13333333333,2.0,3.0,1.4,8933085.366666667,151133.33333333334,53.286666666666655
Australia,2020-07,7.493616,2.3870967741935485,2.0,2.0,3.774193548387097,1.0,2.2580645161290325,2.0,4.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,69.81935483870967
Austria,2020-01,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,2020-02,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41379310344827586,1.0,0.1724137931034483,0.0,0.0,2.298620689655172
Austria,2020-03,4.6,1.5483870967741935,1.6774193548387097,1.3548387096774193,2.064516129032258,0.6129032258064516,1.032258064516129,1.2258064516129032,2.225806451612903,0.8387096774193549,1.032258064516129,1472296831.7096775,0.0,2.0,1.2903225806451613,1.064516129032258,0.0,0.0,54.8409677419355
Austria,2020-04,4.7,3.0,2.433333333333333,2.0,4.0,1.0,2.0,1.7333333333333334,3.0,2.0,2.0,397762.9666666667,0.0,2.0,2.0,2.0,0.0,36189.833333333336,82.34633333333332
Austria,2020-05,5.5,1.6451612903225807,2.0,2.0,3.032258064516129,0.3225806451612903,0.0,0.9032258064516129,3.0,2.0,2.0,440812224.1935484,0.0,2.0,2.096774193548387,2.0,0.0,0.0,59.28999999999998
Austria,2020-06,5.4,0.06666666666666667,2.0,2.0,3.0,0.0,0.0,0.0,2.1,2.0,2.0,1866666.6666666667,0.0,2.0,3.0,2.0,0.0,0.0,44.04466666666666
Austria,2020-07,5.2,0.0,1.2903225806451613,1.2903225806451613,2.2903225806451615,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,34.97548387096775
Belgium,2020-01,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16129032258064516,0.0,0.0,0.0,0.0,0.8964516129032257
Belgium,2020-02,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.27586206896551724,0.0,0.0,11.110000000000008
Belgium,2020-03,5.1,1.1612903225806452,1.6451612903225807,1.2903225806451613,1.8064516129032258,0.0,0.9032258064516129,1.1612903225806452,2.064516129032258,1.6774193548387097,0.8709677419354839,318328789.2258065,0.0,2.0,1.0,1.3870967741935485,34720967.741935484,0.0,49.223225806451616
Belgium,2020-04,5.3,2.0,3.0,2.0,4.0,0.0,2.0,2.0,4.0,2.0,2.0,10666666.666666666,0.0,2.0,1.0,1.0,0.0,180916.66666666666,81.48
Belgium,2020-05,5.4,2.0,2.3225806451612905,2.0,4.0,0.0,2.0,2.0,3.129032258064516,2.0,2.0,0.0,0.0,2.0,1.903225806451613,1.4516129032258065,0.0,709677.4193548387,76.55225806451612
Belgium,2020-06,5.5,2.0,2.0,2.0,3.2333333333333334,0.0,0.4666666666666667,0.4666666666666667,3.0,2.0,2.0,152600000.0,0.0,2.0,2.0,2.0,18833333.333333332,0.0,57.06666666666663
Belgium,2020-07,5.5,1.0,2.096774193548387,2.0,3.096774193548387,0.0,0.1935483870967742,0.12903225806451613,3.0,2.0,1.5483870967741935,2051225.8064516129,0.0,2.0,2.0,2.0,0.0,0.0,49.493870967741934
Canada,2020-01,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3225806451612903,0.0,0.0,0.0,0.0,0.0,0.22580645161290322,1.0,0.0,0.0,0.8967741935483873
Canada,2020-02,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,35.0,0.0,2.7800000000000007
Canada,2020-03,7.8,1.5483870967741935,1.3548387096774193,1.2903225806451613,1.8387096774193548,0.0,0.5806451612903226,0.7741935483870968,2.3548387096774195,1.096774193548387,0.45161290322580644,19580645.16129032,0.0,1.3548387096774193,2.161290322580645,1.0,436.80645161290323,6451736.129032258,39.085161290322596
Canada,2020-04,13.0,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,1.0,35066666.666666664,1000000.0,2.0,3.0,1.0,2360065.033333333,20136087.42,72.87500000000003
Canada,2020-05,13.7,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,1.0,5769677.419354838,0.0,2.0,3.0,1.0,16200771.505806452,0.0,71.42999999999996
Canada,2020-06,12.3,3.0,2.7,2.0,4.0,0.0,1.0,2.0,4.0,2.0,1.0,475670000.0,0.0,2.0,3.0,1.0,0.0,20000000.0,70.275
Canada,2020-07,10.9,3.0,2.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,1.0,438705539.0112903,0.0,2.0,3.0,1.032258064516129,0.0,0.0,67.60741935483877
Chile,2020-01,8.095886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9813.032258064517,0.0,0.0
Chile,2020-02,8.170632000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile,2020-03,9.040819,1.6451612903225807,1.1935483870967742,1.032258064516129,1.2580645161290323,0.0,0.45161290322580644,0.45161290322580644,1.3548387096774193,0.0,0.16129032258064516,330645161.2903226,0.0,1.1612903225806452,0.3870967741935484,0.12903225806451613,56865513.80645161,0.0,32.70645161290322
Chile,2020-04,10.87142,3.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,0.9666666666666667,1.0,166666666.66666666,0.0,2.0,2.0,2.0,0.0,0.0,73.15000000000005
Chile,2020-05,11.74416,3.0,2.5483870967741935,2.0,3.5483870967741935,0.0,2.5483870967741935,2.0,3.0,1.0,1.0,9354838.709677419,0.0,2.0,2.0,2.0,0.0,0.0,76.5690322580645
Colombia,2020-01,10.594710000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7096774193548387,0.06451612903225806,0.0,0.0,0.0,2.955806451612903
Colombia,2020-02,10.84331,0.0,0.20689655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,9.097586206896553
Colombia,2020-03,12.19545,1.5483870967741935,1.4516129032258065,1.2903225806451613,1.7741935483870968,0.22580645161290322,0.45161290322580644,0.45161290322580644,1.8064516129032258,0.0,0.967741935483871,548387096.7741935,0.0,2.0,2.0,0.1935483870967742,0.0,0.0,43.608387096774194
Colombia,2020-04,20.17478,3.0,2.566666666666667,2.0,3.2333333333333334,1.0,2.0,2.0,4.0,0.8,2.0,247655320.8,0.0,2.0,2.0,1.9333333333333333,0.0,0.0,87.00533333333331
Colombia,2020-05,21.21399,3.0,2.161290322580645,2.0,4.0,1.0,2.0,2.0,4.0,1.0,2.0,20672853.677419353,0.0,2.0,2.0,2.0,198480054.77419356,0.0,87.63677419354836
Colombia,2020-06,20.82111,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,87.03999999999998
Colombia,2020-07,19.7451,3.0,2.5806451612903225,2.0,4.0,1.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,87.03999999999998
Czech Republic,2020-01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.0,0.41935483870967744,0.0,0.0,0.0,0.0,2.688709677419355
Czech Republic,2020-02,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8902.620689655172,2.0,0.0,0.0,0.0,0.0,16.861034482758633
Czech Republic,2020-03,2.1,2.032258064516129,1.8064516129032258,1.3548387096774193,2.3548387096774195,0.0,1.096774193548387,1.032258064516129,3.5161290322580645,0.06451612903225806,0.8387096774193549,130752044.78741935,0.0,2.0,0.9032258064516129,2.0,3922561.3435483873,0.0,57.52645161290325
Czech Republic,2020-04,2.2,2.6333333333333333,2.6333333333333333,2.0,3.8666666666666667,0.0,1.6666666666666667,0.06666666666666667,3.433333333333333,2.0,2.0,0.0,33757.895333333334,2.0,2.0,2.0,0.0,0.0,68.45733333333332
Czech Republic,2020-05,2.4,2.0,1.7741935483870968,1.7741935483870968,2.774193548387097,0.0,1.0,0.0,3.0,2.0,2.0,8100472.9677419355,0.0,2.0,2.0,2.0,0.0,0.0,54.69129032258063
Czech Republic,2020-06,2.7,1.6666666666666667,1.0,1.0,1.7,0.0,0.0,0.03333333333333333,3.0,2.0,1.2666666666666666,0.0,0.0,2.0,2.0,2.0,0.0,0.0,39.58700000000001
Czech Republic,2020-07,2.7,1.0,1.0,1.0,1.3870967741935485,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,36.020322580645164
Germany,2020-01,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25806451612903225,0.16129032258064516,0.6451612903225806,0.0,0.0,1.4348387096774196
Germany,2020-02,3.6,0.27586206896551724,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,1.6206896551724137,1.0,2.0,0.0,276218.5172413793,10.154482758620695
Germany,2020-03,3.8,2.5161290322580645,0.6451612903225806,1.7096774193548387,1.7741935483870968,0.0,1.096774193548387,0.8709677419354839,2.4838709677419355,1.032258064516129,0.0,2207837086.2164516,0.0,2.0,1.0,1.5483870967741935,2132184638.7096775,5048736.29032258,48.77451612903224
Germany,2020-04,4.0,3.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0,2.0,1.0,0.0,0.0,2.0,1.1333333333333333,1.0,1808983.7,0.0,76.84999999999995
Germany,2020-05,4.2,2.096774193548387,2.0,2.0,4.0,0.0,0.3225806451612903,2.0,3.4838709677419355,2.0,1.0,0.0,65258064.51612903,2.0,3.0,1.0,0.0,45233333.333333336,63.84193548387098
Germany,2020-06,4.3,2.433333333333333,2.0,2.0,4.0,0.0,0.0,2.0,3.0,2.0,1.0,4666666666.666667,58000000.0,2.0,3.0,1.5333333333333334,0.0003333333333333333,11333333.333333334,61.3276666666667
Germany,2020-07,4.4,1.3870967741935485,2.0,2.0,3.225806451612903,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,56.79387096774191
Denmark,2020-01,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,2020-02,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20689655172413793,0.0,0.10344827586206896,0.0,0.0,1.149310344827586
Denmark,2020-03,4.8,1.8387096774193548,1.1290322580645162,0.8387096774193549,2.2903225806451615,0.7096774193548387,0.9354838709677419,0.6129032258064516,3.129032258064516,1.4838709677419355,0.0,1392862795.07,0.0,2.0,0.6774193548387096,1.0,0.0,0.0,52.62741935483872
Denmark,2020-04,4.9,2.466666666666667,2.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,0.8666666666666667,72530.0,3188888.5,2.0,1.3666666666666667,1.2666666666666666,3190578.4,0.0,70.24666666666667
Denmark,2020-05,5.5,2.0,2.0,1.0,3.225806451612903,1.0,1.0,1.0,3.774193548387097,2.0,2.0,103840963.03225806,0.0,2.0,2.6451612903225805,2.0,0.0,0.0,65.74000000000001
Denmark,2020-06,6.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,62.96000000000002
Denmark,2020-07,6.0,2.0,2.0,1.0,2.225806451612903,1.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,60.815483870967775
Spain,2020-01,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.06451612903225806,0.25806451612903225,0.06451612903225806,0.0,7966.4838709677415,0.3583870967741935
Spain,2020-02,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.793103448275862,0.0,0.0,11.110000000000008
